sample,silicate,phosphate,nitrite,nitrate,oxygen
"any",0,0,0,0,0
"NaCl",4.23,0,0,0,0
"SW",1.22,0.02,0,0,0
"KCl",1.25,0,0,0,0
"NaCl-KHP",9.07,0,0,0,0
"NaCl-TRIS-KHP",14.79,0,0,0,0
"SW-KHP",2.64,0.02,0,0,0
"SW-TRIS",1.99,0.02,0,0,0
"SW-TRIS-KHP",2.22,0.02,0,0,0
"CRM-189-0027",19.27,0.5,0.04,0.79,0
"NaCl-TRIS",9.75,0,0,0,0
"SR1802-52",31.23,0.41,0.11,0.18,211.85
"SR1802-55",30.94,0.38,0.11,0.32,254.7
"SR1802-59",29.05,0.37,0.11,0.28,257.86
"SR1802-48",42.82,0.51,0.19,0.3,246.44
"SR1802-44",33.38,0.63,0.27,0.3,242.29
"SR1802-39",202.3,1.07,0.43,0.54,189.04
"SR1802-35",39.35,0.39,0.2,0.07,262.71
"SR1802-31",39.35,0.41,0.21,0.05,262.4
"SR1802-28",32.87,1.16,0.36,0.29,117.67
"SR1802-24",48.8,0.66,0.27,0.17,252.82
"SR1802-04",90.11,3.16,0,0.1,15.14
"SR1802-07",51.77,2.09,0,0.13,100.34
"SR1802-11",31.19,0.41,0.08,0.53,254.86
"SR1802-16",36.26,1.03,0.35,0.27,205.56
"SR1802-19",30.79,0.6,0.25,0.21,245.92
"SR1802-40",36.62,1.07,0.43,0.54,189.04
"SR1802-23",30.9,0.66,0.27,0.17,252.82
"SR1802-03",138.83,3.16,0,0.1,15.14
"SR1802-47",111.22,0.51,0.19,0.3,246.44
"SR1802-51",59.25,0.41,0.11,0.18,211.85
"CRM-183-0808",162.87,0.4,0,1.23,0
"PERDIDO",26.74,0.08,0.04,0.38,0
"IMNP",29.05,1.8,0.28,2.59,0
"UABC",19.19,0.52,0.17,0.45,0
"CRM-176-0261",323.93,0.51,0.03,1.07,0
